rho_Lorenz;lambda_1;lambda_2;lambda_3
166.52;0.8006039023749875;0.04302786261906281;-14.259581539682038
166.53;1.4152884773855705;0.02793164289665977;-14.866216948938959
166.54;1.1179567348665562;0.0925735639207415;-14.63069777686394
166.55;1.1943001760570675;0.07810052069257041;-14.693429359148867
166.56;1.6067263657080377;0.10078862661402699;-15.129851031675436
166.57;0.9873781397851333;0.06482305950658912;-14.46955559174947
166.58;0.6824108572000521;0.0647047823833839;-14.160882076357614
166.59;0.5389212804571286;0.06111557825770038;-14.013503558227805
166.6;1.704966289940798;0.06860208017335183;-15.197314780357344
166.61;1.4418592071245484;0.06707388705502507;-14.93003580987411
166.62;1.7333317104825392;-0.005500252009026581;-15.154395365967462
166.63;1.0672006089999908;0.07403009730284549;-14.558805361369286
166.64;1.51180805204521;0.05680051086861134;-14.990240040670583
166.65;1.9791705321733937;0.037922984304444185;-15.44534133907853
166.66;1.6111199097608142;0.07274714595534838;-15.10679553738751
166.67;1.3970430520336459;0.046093828325589295;-14.86415234837478
166.68;1.4935830450010155;0.07595001616944878;-14.990253063745236
166.69;1.6961565001166772;0.02201675778711709;-15.141805310848024
166.7;1.5291301719219788;0.05102757474994168;-15.001441280136424
166.71;1.6969968341460435;0.06864850582648899;-15.190614994646026
166.72;1.2991351917558864;0.026950337798638754;-14.746507157010774
166.73;1.6658437940954185;0.08098830366558282;-15.167163340474895
166.74;1.7165377966620765;0.053081819727816414;-15.193955822915385
166.75;1.546486330503553;0.02551144829626476;-14.991368425944787
166.76;1.392949901181941;0.0636393959267819;-14.87674835050944
166.77;1.395841117463369;0.030160971134808166;-14.845923026197907
166.78;1.4964391257335417;0.04889551403740557;-14.970516718234633
166.79;1.7284404032880227;0.06205034636155194;-15.216845145479894
166.8;2.0723645790737404;-0.003680826954253643;-15.498333982213337
166.81;1.786116286003433;0.050579704179297094;-15.259112309675473
166.82;1.582728067443445;0.05282663870117555;-15.057711483203946
166.83;1.7219407412388796;0.06036447413287529;-15.207338187545623
166.84;1.6197159558490015;0.05253824260447983;-15.096879565509887
166.85;1.6669014862553695;0.05588364978434137;-15.146603331151617
166.86;1.5682372433301603;0.11022304650021082;-15.103425882495042
166.87;1.520738196424815;0.0399175873891883;-14.983246243635248
166.88;1.5430725278340287;0.097289959178703;-15.064563529988561
166.89;2.031842706757823;0.018856350179336616;-15.474941173515514
166.9;1.533019240366218;0.0599347608793809;-15.014193688371584
166.91;1.7281912176975294;0.0634620414393795;-15.214409492725181
166.92;1.4929722551897742;0.06569457743484172;-14.981268799642706
166.93;1.820680014750241;0.07092464236824915;-15.315998675846545
166.94;1.9017374283522657;0.04517490253560408;-15.373730929573478
166.95;1.6997750119540642;0.057053757837683336;-15.181914943016602
166.96;1.7796930776868676;0.06369056352305238;-15.266139933336197
166.97;1.8393490831259134;0.04274395612366466;-15.306992487921072
166.98;1.8528365805562093;0.03240455637192084;-15.309124325107001
166.99;1.693105909919687;0.02495492656019799;-15.14263730008585
167.0;1.4579676442214893;0.04559564987092724;-14.926064516904212
