rho_Lorenz;lambda_1;lambda_2;lambda_3
177.0;2.189682208171788;0.0740005380848061;-15.669318988050259
178.0;2.4284308593854136;0.07146123123654079;-15.908271032807857
179.0;2.189336363131668;0.06971464887333535;-15.658332724466051
180.0;2.199966233687759;0.01792019631731348;-15.617487638040888
181.0;0.34573981693230516;0.1663343781159924;-13.905285021250856
182.0;2.489056949544422;0.07603860842203479;-15.959551610093447
183.0;2.4714035464052317;0.08352730535375112;-15.942999800676578
184.0;2.298229958160578;0.10020722510514425;-15.78202478531595
185.0;2.347741723449675;0.10655156857750042;-15.831419360479329
186.0;2.359805153106267;0.10762789555197651;-15.843867311881178
187.0;2.387646586171869;0.0980414276331489;-15.857947304329803
188.0;2.3456712478752615;0.10338032429790138;-15.822995443510866
189.0;2.6403157059089866;0.08985241399177056;-16.11170657162688
190.0;2.799035155714602;0.09807216009434351;-16.282219093248194
191.0;2.53300061704444;0.0932790322190781;-16.001782051612018
192.0;2.4945531411406336;0.0845683184595951;-15.955948202213749
193.0;2.4885898577473737;0.10614443931578345;-15.959441867057924
194.0;2.424905422198693;0.11059367390436259;-15.90342598825207
195.0;2.504803198815035;0.09153414412111031;-15.967033362470405
196.0;2.447180804165606;0.10124068884013722;-15.909736451270357
197.0;2.3166316121969173;0.10426678745003329;-15.777815548857946
198.0;2.1631783712084554;0.1316340448518848;-15.641579958754951
199.0;2.0404542345460417;0.12557842451295995;-15.508335560688407
200.0;1.9110300794311572;0.14341838820514222;-15.382704974700067
201.0;1.8773201765275707;0.15793147620002607;-15.356191545466537
202.0;1.8070622612661618;0.15651637469906912;-15.285648076699445
203.0;1.7280852671615206;0.1459642178859911;-15.196788279079659
204.0;1.6788202583037752;0.15411220532093833;-15.159659362136502
205.0;1.5201200579278913;0.16781494681787076;-15.011524796842561
206.0;1.4514453768488287;0.15605820696332423;-14.928866523259842
207.0;1.3061349007551355;0.14834210987788746;-14.774005083055181
208.0;1.5117390011066043;0.16088925811019333;-14.992618576248018
209.0;1.388168410378914;0.14159068889325244;-14.84898822066235
210.0;1.0176765853381895;0.16763861574142058;-14.49997875706458
211.0;1.1156717265187488;0.1673849623042643;-14.596849559939445
212.0;1.2336966963750982;0.17913634157523753;-14.723557982766682
213.0;1.1536762950659758;0.1616229724173589;-14.625023580510433
214.0;1.0240963578992404;0.17185806198089956;-14.501442481893871
214.364;0.8390232016532032;0.11987861149069562;-14.263694630856346
215.0;1.2071556722339174;0.15977697425091347;-14.67077854766238
216.0;0.7796031109800658;0.1758951734990784;-14.25574738170438
217.0;0.740697424563849;0.18112034916027217;-14.221274926645622
218.0;0.8413629764522439;0.1838588723423219;-14.319801167042419
219.0;0.7617676803678712;0.17033588858896412;-14.225476374865686
220.0;0.3925255117064349;0.16189781398593728;-13.84365705930092
221.0;0.3274716546677189;-0.03876285350853672;-13.576033280943118
222.0;0.3130475377290909;0.2054893200127007;-13.804694058910659
223.0;0.41986819901674655;0.2148712379030985;-13.917493550981565
224.0;0.2889439809074556;-0.14156890766701224;-13.426501544540582
225.0;0.2877154240956925;-0.44938465437572644;-13.116205360168417
226.0;0.2725677798748556;-0.38437374524278106;-13.162236323923008
227.0;0.3267642149549442;-0.6664303768414764;-12.933015998256108
228.0;0.28766845144151404;0.1313413384925428;-13.688007129394506
229.0;0.2974686023289511;0.09580335399533874;-13.660916641834476
230.0;0.2958652708885545;0.025918015882193113;-13.585348938628556
231.0;0.3088400108333972;-0.07684062346579693;-13.494043931823239
232.0;0.3093034487256005;-0.14720087076535934;-13.420340164537558
233.0;0.30391454744132745;-0.2944757438902988;-13.265236351095934
233.5;0.31611930881119393;-0.35121185292049795;-13.218395750976208
234.0;0.30289440756221053;-0.3339269135223389;-13.221390828589278
235.0;0.2975999598655104;-0.41767233076053606;-13.129256749720309
236.0;0.3055814687168203;-0.5116105361866851;-13.040133043347057
237.0;0.32250653182488065;-0.6095876943430307;-12.95575786630201
238.0;0.30416971666671383;-0.7980566858270732;-12.746123815718548
239.0;0.31934911600799726;-0.9030874088054801;-12.653603315306992
240.0;0.3178654420192184;-1.1656261615316867;-12.386596726253103
241.0;0.331656148926384;-1.1196801476248646;-12.444778670025007
242.0;0.32811184690158585;-1.4802867370295647;-12.076344150866168
243.0;0.3284539930121893;-1.711358215438284;-11.844347913319893
244.0;0.32593930291205;-1.8429605590113187;-11.706094693401369
245.0;0.29661219404103306;-2.1863062786812404;-11.331382465040468
246.0;0.32158875617411053;-2.1283963699215342;-11.411165094809053
247.0;0.32714783043872414;-2.3428618307550537;-11.199452629334623
248.0;0.31644127028742103;-2.4256272595175714;-11.103356196185832
249.0;0.3425057558913391;-2.565673687426354;-10.987546394513274
250.0;0.35983681305745185;-3.6873771468387417;-9.879118642682217
251.0;0.36056398532164574;-3.918431080504327;-9.645050657735304
252.0;0.38255140747167693;-5.723282954833976;-7.860555805542953
253.0;0.37202045652589427;-4.468893513794266;-9.1004823510688
254.0;0.3716472979199939;-4.396030404728387;-9.171490404330662
255.0;0.3099102535866548;-4.874470644283806;-8.62715615375716
256.0;0.3196317574509442;-5.223412816802938;-8.285103182939883
257.0;0.3510096058557242;-3.3310635844655656;-10.20740583571488
258.0;0.3525525721565548;-5.366305139196133;-8.169438177622773
259.0;0.3225184622410156;-3.923790464503932;-9.580208071933257
260.0;0.33467919912048727;-3.8665803298604113;-9.646560693322009
261.0;0.3448874159088677;-3.8856325650960413;-9.635046960171255
262.0;0.34108034659535;-4.077417194231821;-9.436760045708356
263.0;0.3806265553019149;-6.565479175990954;-6.984137657162099
264.0;0.36044168979114366;-5.083133812026046;-8.444950428357387
265.0;0.38626883663978434;-4.104156314008489;-9.44635696220672
266.0;0.3785734846252823;-4.71780652664008;-8.822490693980523
267.0;0.3890039396333421;-5.250323997475932;-8.299621210137142
268.0;0.3854778050177295;-4.372138273903034;-9.170142155143386
269.0;0.38363872596477705;-3.8650481375700236;-9.672991906358895
270.0;0.40435080781473504;-3.7211094850670823;-9.83438448402656
271.0;0.38823260411629235;-3.6307954319102556;-9.906160885251083
272.0;0.40806870414684887;-3.493376172218555;-10.063017307269156
273.0;0.3788544557867176;-3.0241112935339003;-10.500979923973023
274.0;0.3849126356114253;-2.654139800989274;-10.873484377219395
275.0;0.3762175398316952;-2.6070065601651207;-10.908252003457806
276.0;0.4064406347257821;-2.4846464892882527;-11.0564844957383
277.0;0.38701266566838066;-2.3324186132693043;-11.186283470977399
278.0;0.3877883870698946;-2.226718643292679;-11.290470029890857
279.0;0.4017259611064618;-2.1130714190668556;-11.416398199539197
280.0;0.3897852746506082;-2.403797059747749;-11.109189516659681
281.0;0.3957812471046007;-2.1027222260451732;-11.415443834601492
282.0;0.39673938258351016;-1.9804525802203639;-11.535105204676915
283.0;0.3943887979858701;-1.8179737527913906;-11.692186546116822
284.0;0.4253315319293655;-1.6537723338357753;-11.884764227949054
285.0;0.41952424931543797;-1.5551401918934085;-11.974140133324573
286.0;0.4217898196611907;-1.4125385881356913;-12.117456851269264
287.0;0.41402134112663513;-1.1230202623729368;-12.39531680107944
288.0;0.4035483301273737;-1.335471469098582;-12.16990872178194
289.0;0.43552785009268;-0.9292600747093394;-12.605670136568413
290.0;0.4266916108240928;-0.8428032404257886;-12.679837369192951
291.0;0.4198311277091898;-0.9174706669396745;-12.596667968307829
292.0;0.41100938174975865;-0.8255599116897437;-12.676303740213921
293.0;0.4085090956444653;-0.8540722514103216;-12.642477916517954
294.0;0.4177878705629864;-0.9237121023513939;-12.579618495243007
295.0;0.4174853765994226;-0.8709901046066083;-12.628991404372803
296.0;0.42360782701927285;-0.8268519564501173;-12.677962617785601
297.0;0.41932616299785336;-0.7891992897770534;-12.708110550091124
298.0;0.4116207178022101;-0.7468395806787806;-12.739838247137131
299.0;0.4228974695053914;-0.7307851562048765;-12.764056653892183
300.0;0.42599239711601505;-0.6873833091394543;-12.807607901934214
301.0;0.47992252746313224;-0.29916658419050013;-13.246663025473872
302.0;0.4712609663022529;-0.22982477877657234;-13.30398476860385
303.0;0.4636523220177447;-0.15026945462049474;-13.372515754819817
304.0;0.47862574636253713;0.001807392138167201;-13.536276337013826
305.0;0.48052349614292406;0.20398111188314122;-13.73686510400933
306.0;0.6532032012630513;0.36337205614321755;-14.063475035753486
307.0;0.6456054254126329;0.3697855264519039;-14.059431110237979
308.0;0.4900517999873035;0.1760770113013846;-13.71112852563567
309.0;0.5222897184781231;0.3365536324731317;-13.900711017443376
310.0;0.5672040829898266;0.3327683316970307;-13.939813727346452
311.0;0.552555247589219;0.3884943909668561;-13.978944432079334
312.0;0.5344113995632362;0.37745680976956386;-13.946061457816096
313.0;0.4777991626911212;0.4023329038258791;-13.911413685535793
314.0;0.5322555637440973;0.35892076339607437;-13.920180243235807
315.0;0.5851765380887995;0.3959817019601384;-14.005727094495871
316.0;0.47140304737786115;0.41595784669948044;-13.910914937498102
317.0;0.5039457124253961;0.3710574061438768;-13.89556896244215
318.0;0.5382980821132314;0.37858012504208455;-13.933656186103626
319.0;0.537819820120206;0.3735956748689122;-13.92563184186618
320.0;0.526164849615244;0.2766607689188023;-13.816433259997929
321.0;0.5078829724322107;0.32465291770787613;-13.843617962247551
322.0;0.5093245801095168;0.3143317771495817;-13.83184434395669
323.0;0.5217627692987793;0.29758653938985175;-13.824821959720023
324.0;0.52760040839991;0.2913281864922513;-13.822790677674831
325.0;0.5199019154076978;0.28154869486123485;-13.80317497636835
326.0;0.5129812041345098;0.259582514450194;-13.771722153639999
327.0;0.5253341763993759;0.23728737041510875;-13.75898441394246
328.0;0.5098754512584767;0.3079610520584597;-13.810986097375032
329.0;0.5180179094599947;0.25478633849392607;-13.764445636354335
330.0;0.5075966210312327;0.237432949355635;-13.73433230582883
